image_id,class_name,method,tp,fp,fn,ignored,n_gt,kept_predictions,recall,precision,f1,logical_calls,inference_seconds,postprocess_seconds
00893,ship,prompt,3,45,25,0,28,48,0.10714285714285714,0.0625,0.07894736842105263,10,1.0811704769730568,0.007401091977953911
00893,ship,full,0,14,28,0,28,14,0.0,0.0,0.0,10,1.4987073224037886,0.0022402163594961166
00893,ship,scale_prior,1,37,27,0,28,38,0.03571428571428571,0.02631578947368421,0.030303030303030304,10,1.3918545693159103,0.005730818957090378
00893,ship,matched,0,13,28,0,28,13,0.0,0.0,0.0,10,1.3897780384868383,0.0022350121289491653
00893,ship,dense_1024,0,9,28,0,28,9,0.0,0.0,0.0,24,3.020436780527234,0.001626843586564064
00893,ship,dense_both,14,123,14,0,28,137,0.5,0.10218978102189781,0.1696969696969697,108,13.41268765926361,0.02658139541745186
00893,small-vehicle,prompt,867,279,1490,0,2357,1146,0.367840475180314,0.756544502617801,0.4950042820439623,10,1.1958782579749823,0.2795382831245661
00893,small-vehicle,full,441,268,1916,0,2357,709,0.18710224862112856,0.6220028208744711,0.2876712328767123,10,1.4080883525311947,0.19870910979807377
00893,small-vehicle,scale_prior,475,294,1882,0,2357,769,0.20152736529486637,0.6176853055916776,0.3039027511196417,10,1.4083480387926102,0.20383389480412006
00893,small-vehicle,matched,429,281,1928,0,2357,710,0.18201103097157403,0.604225352112676,0.27975220084773395,10,1.418154250830412,0.19202196598052979
00893,small-vehicle,dense_1024,343,376,2014,0,2357,719,0.14552397114976665,0.47705146036161333,0.22301690507152144,24,3.020436780527234,0.20339209586381912
00893,small-vehicle,dense_both,1835,877,522,0,2357,2712,0.7785320322443785,0.676622418879056,0.7240086802130598,108,13.41268765926361,0.7774545233696699
00893,storage-tank,prompt,0,9,4,0,4,9,0.0,0.0,0.0,10,1.4064455833286047,0.0016141794621944427
00893,storage-tank,full,2,10,2,0,4,12,0.5,0.16666666666666666,0.25,10,1.2942203227430582,0.0022401828318834305
00893,storage-tank,scale_prior,2,9,2,0,4,11,0.5,0.18181818181818182,0.26666666666666666,10,1.1897925455123186,0.0020569637417793274
00893,storage-tank,matched,2,1,2,0,4,3,0.5,0.6666666666666666,0.5714285714285714,10,1.099772747606039,0.0007021203637123108
00893,storage-tank,dense_1024,2,10,2,0,4,12,0.5,0.16666666666666666,0.25,24,3.020436780527234,0.002230556681752205
00893,storage-tank,dense_both,4,16,0,0,4,20,1.0,0.2,0.3333333333333333,108,13.41268765926361,0.004426177591085434
00893,swimming-pool,prompt,1,8,1,0,2,9,0.5,0.1111111111111111,0.18181818181818182,10,1.2070679403841496,0.0014664288610219955
00893,swimming-pool,full,1,7,1,0,2,8,0.5,0.125,0.2,10,1.3000543881207705,0.0015351660549640656
00893,swimming-pool,scale_prior,1,9,1,0,2,10,0.5,0.1,0.16666666666666666,10,1.1940780337899923,0.0020224079489707947
00893,swimming-pool,matched,1,9,1,0,2,10,0.5,0.1,0.16666666666666666,10,1.1940780337899923,0.00201466865837574
00893,swimming-pool,dense_1024,1,8,1,0,2,9,0.5,0.1111111111111111,0.18181818181818182,24,3.020436780527234,0.002049742266535759
00893,swimming-pool,dense_both,1,34,1,0,2,35,0.5,0.02857142857142857,0.05405405405405406,108,13.41268765926361,0.006325552240014076
00905,airplane,prompt,20,7,42,0,62,27,0.3225806451612903,0.7407407407407407,0.449438202247191,10,1.223837336525321,0.006378991529345512
00905,airplane,full,50,13,12,2,62,65,0.8064516129032258,0.7936507936507936,0.8,10,1.304350171238184,0.01568090170621872
00905,airplane,scale_prior,43,14,19,2,62,59,0.6935483870967742,0.7543859649122807,0.7226890756302521,10,1.3103912640362978,0.014447718858718872
00905,airplane,matched,29,12,33,2,62,43,0.46774193548387094,0.7073170731707317,0.5631067961165048,10,1.2160406857728958,0.009269161149859428
00905,airplane,dense_1024,51,15,11,2,62,68,0.8225806451612904,0.7727272727272727,0.796875,24,3.0290580485016108,0.017539454624056816
00905,airplane,dense_both,54,14,8,2,62,70,0.8709677419354839,0.7941176470588235,0.8307692307692308,115,14.793035021051764,0.022251948714256287
00905,large-vehicle,prompt,0,2,4,0,4,2,0.0,0.0,0.0,10,1.5289967264980078,0.00030539557337760925
00905,large-vehicle,full,3,2,1,0,4,5,0.75,0.6,0.6666666666666666,10,1.5092351473867893,0.0010033268481492996
00905,large-vehicle,scale_prior,3,3,1,0,4,6,0.75,0.5,0.6,10,1.4235389214009047,0.0011378806084394455
00905,large-vehicle,matched,3,3,1,0,4,6,0.75,0.5,0.6,10,1.4215181153267622,0.0011249184608459473
00905,large-vehicle,dense_1024,4,18,0,0,4,22,1.0,0.18181818181818182,0.3076923076923077,24,3.0290580485016108,0.003059541806578636
00905,large-vehicle,dense_both,4,44,0,0,4,48,1.0,0.08333333333333333,0.15384615384615385,115,14.793035021051764,0.0074950456619262695
00905,small-vehicle,prompt,0,18,8,0,8,18,0.0,0.0,0.0,10,1.5252847727388144,0.0019800569862127304
00905,small-vehicle,full,0,4,8,0,8,4,0.0,0.0,0.0,10,1.4110519997775555,0.0005858279764652252
00905,small-vehicle,scale_prior,0,8,8,0,8,8,0.0,0.0,0.0,10,1.519471064209938,0.0008946582674980164
00905,small-vehicle,matched,0,1,8,0,8,1,0.0,0.0,0.0,10,1.318385573104024,0.00026759132742881775
00905,small-vehicle,dense_1024,0,14,8,0,8,14,0.0,0.0,0.0,24,3.0290580485016108,0.00189201720058918
00905,small-vehicle,dense_both,0,256,8,7,8,263,0.0,0.0,0.0,115,14.793035021051764,0.036172160878777504
00905,storage-tank,prompt,2,0,5,0,7,2,0.2857142857142857,1.0,0.4444444444444444,10,1.1267315186560154,0.00037922896444797516
00905,storage-tank,full,2,1,5,0,7,3,0.2857142857142857,0.6666666666666666,0.4,10,1.2149233631789684,0.000626053661108017
00905,storage-tank,scale_prior,2,0,5,0,7,2,0.2857142857142857,1.0,0.4444444444444444,10,1.311953578144312,0.0004764869809150696
00905,storage-tank,matched,2,0,5,0,7,2,0.2857142857142857,1.0,0.4444444444444444,10,1.311953578144312,0.0004818253219127655
00905,storage-tank,dense_1024,4,1,3,0,7,5,0.5714285714285714,0.8,0.6666666666666666,24,3.0290580485016108,0.0009512770920991898
00905,storage-tank,dense_both,5,2,2,0,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,115,14.793035021051764,0.0014434419572353363
00905,swimming-pool,prompt,2,3,1,0,3,5,0.6666666666666666,0.4,0.5,10,1.3320479951798916,0.0010104663670063019
00905,swimming-pool,full,1,3,2,0,3,4,0.3333333333333333,0.25,0.2857142857142857,10,1.218532083556056,0.0008633174002170563
00905,swimming-pool,scale_prior,2,3,1,0,3,5,0.6666666666666666,0.4,0.5,10,1.2108539417386055,0.00099223293364048
00905,swimming-pool,matched,2,3,1,0,3,5,0.6666666666666666,0.4,0.5,10,1.2201595362275839,0.0009975060820579529
00905,swimming-pool,dense_1024,2,3,1,0,3,5,0.6666666666666666,0.4,0.5,24,3.0290580485016108,0.001156805083155632
00905,swimming-pool,dense_both,2,10,1,0,3,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,115,14.793035021051764,0.002356836572289467
00921,storage-tank,prompt,3,0,8,0,11,3,0.2727272727272727,1.0,0.42857142857142855,10,1.211514875292778,0.0009742807596921921
00921,storage-tank,full,3,0,8,0,11,3,0.2727272727272727,1.0,0.42857142857142855,10,1.5709620155394077,0.0007259026169776917
