method,metric,num_queries,num_images,mean,ci95_low,ci95_high
remoteclip,precision_at_10,5420,458,0.6090687049727643,0.5879611350197517,0.6313408605676957
remoteclip,recall_at_5,5420,458,0.3730277638250432,0.3489542595471155,0.3986643499893451
remoteclip,recall_at_10,5420,458,0.564157440875743,0.5352414239300398,0.594341899992589
remoteclip,ndcg_at_5,5420,458,0.697887843736337,0.6749380531372683,0.7215954644248406
remoteclip,ndcg_at_10,5420,458,0.7118335482700567,0.6890779795960714,0.7354279035352367
remoteclip,object_recall_at_5,5420,458,0.7056215190131095,0.6795957150303855,0.7315199313102121
remoteclip,object_recall_at_10,5420,458,0.8325255114069549,0.8108487733098045,0.8531080626825194
remoteclip_priver,hit_at_1,5420,458,0.8435424354243543,0.8212490106208699,0.865683501133586
remoteclip_priver,hit_at_5,5420,458,0.9461254612546124,0.9322149379952386,0.9590777191558442
remoteclip_priver,hit_at_10,5420,458,0.9726937269372694,0.96227724434298,0.9820762431708252
remoteclip_priver,precision_at_5,5420,458,0.7563591635916355,0.7360670629959106,0.7766963570966434
remoteclip_priver,precision_at_10,5420,458,0.6751941662273764,0.6557685008598643,0.6955821159339163
remoteclip_priver,recall_at_5,5420,458,0.432681639117307,0.408418071303672,0.4581057327671222
remoteclip_priver,recall_at_10,5420,458,0.630326096949508,0.6025765266372336,0.6585128588965361
remoteclip_priver,ndcg_at_5,5420,458,0.8054626121487903,0.7852687449216164,0.8253379386298032
remoteclip_priver,ndcg_at_10,5420,458,0.8069941229493657,0.7870083348458493,0.8266822910761573
remoteclip_priver,object_recall_at_5,5420,458,0.8240152798514964,0.7998177467460333,0.8474714763550926
remoteclip_priver,object_recall_at_10,5420,458,0.8990619119587776,0.8788775875663671,0.9176268967669888
