method,metric,num_queries,num_images,mean,ci95_low,ci95_high,dataset
graph,hit_at_1,5420,458,0.7345018450184502,0.7061729447475396,0.7634065062178919,DOTA-v1.5
graph,hit_at_5,5420,458,0.8998154981549815,0.8822875302913478,0.9170937042459736,DOTA-v1.5
graph,hit_at_10,5420,458,0.938560885608856,0.9243679308501572,0.952613374578715,DOTA-v1.5
graph,precision_at_5,5420,458,0.675436654366544,0.6513195729312898,0.7006014560201201,DOTA-v1.5
graph,precision_at_10,5420,458,0.6146222105078191,0.5918277755108426,0.6380774849452303,DOTA-v1.5
graph,recall_at_5,5420,458,0.3722804579878083,0.3481226782344683,0.3978013600515885,DOTA-v1.5
graph,recall_at_10,5420,458,0.5602375592383154,0.5304775745809,0.5912149017267713,DOTA-v1.5
graph,ndcg_at_5,5420,458,0.710918884919188,0.6861085512296996,0.736774421386226,DOTA-v1.5
graph,ndcg_at_10,5420,458,0.7162738664930417,0.691504745130406,0.741645822498802,DOTA-v1.5
graph,object_recall_at_5,5420,458,0.7612685591923913,0.734892123383329,0.7876076313294861,DOTA-v1.5
graph,object_recall_at_10,5420,458,0.8482157896270361,0.8247112198033528,0.8710759046250334,DOTA-v1.5
priver,hit_at_1,5420,458,0.7498154981549815,0.7212747522643422,0.7793804833887454,DOTA-v1.5
priver,hit_at_5,5420,458,0.9092250922509224,0.8907374664047963,0.9274924471299094,DOTA-v1.5
priver,hit_at_10,5420,458,0.9453874538745388,0.9311349206349206,0.9596252560706356,DOTA-v1.5
priver,precision_at_5,5420,458,0.6859532595325949,0.6616330038163747,0.7112732372120307,DOTA-v1.5
priver,precision_at_10,5420,458,0.623976454050255,0.6013129621085426,0.6471773692127938,DOTA-v1.5
priver,recall_at_5,5420,458,0.3790518497847278,0.3549266806015526,0.4046733811636511,DOTA-v1.5
priver,recall_at_10,5420,458,0.5678957492766024,0.5380544523324939,0.5990277378239324,DOTA-v1.5
priver,ndcg_at_5,5420,458,0.7227777902871718,0.6981043935151309,0.7486256792066041,DOTA-v1.5
priver,ndcg_at_10,5420,458,0.7278366823009225,0.7032340011029473,0.7528593618456998,DOTA-v1.5
priver,object_recall_at_5,5420,458,0.7691316157288203,0.7415097194273844,0.7964093569088827,DOTA-v1.5
priver,object_recall_at_10,5420,458,0.8567727053779735,0.8335929954322988,0.8794741858154672,DOTA-v1.5
semantic,hit_at_1,5452,525,0.4794570799706529,0.4547851205455484,0.5046126444041429,SODA-A
semantic,hit_at_5,5452,525,0.7371606749816582,0.7150106952456262,0.7585758702199388,SODA-A
semantic,hit_at_10,5452,525,0.8294203961848863,0.8110481678415898,0.8468105151322325,SODA-A
semantic,precision_at_5,5452,525,0.4375641966250914,0.4165572046183033,0.4585561052042827,SODA-A
semantic,precision_at_10,5452,525,0.4141966250917093,0.3941915008436348,0.4342395642033745,SODA-A
semantic,recall_at_5,5452,525,0.0987433399514994,0.0927729018414267,0.1050762995211467,SODA-A
semantic,recall_at_10,5452,525,0.1768099552544953,0.1679998319218038,0.185960826592694,SODA-A
semantic,ndcg_at_5,5452,525,0.4501425889128172,0.4289182106090613,0.4714338554073021,SODA-A
semantic,ndcg_at_10,5452,525,0.4448807253696322,0.42502932493951,0.4646352956912121,SODA-A
semantic,object_recall_at_5,5452,525,0.3167764798569762,0.301897407341967,0.3318577410173875,SODA-A
semantic,object_recall_at_10,5452,525,0.4669685616882267,0.450370058058235,0.4835344841078022,SODA-A
prompt,hit_at_1,5452,525,0.4922964049889948,0.4638862577068466,0.5215781283845987,SODA-A
prompt,hit_at_5,5452,525,0.7505502567865003,0.7258975417068942,0.7748297718542434,SODA-A
prompt,hit_at_10,5452,525,0.8363903154805576,0.8154275979124713,0.85650911815788,SODA-A
prompt,precision_at_5,5452,525,0.4506236243580332,0.4280306320594191,0.472917122151354,SODA-A
prompt,precision_at_10,5452,525,0.4234042553191491,0.4028206881064193,0.4440589041270257,SODA-A
prompt,recall_at_5,5452,525,0.1030688359539396,0.0959805763716398,0.1105888039786607,SODA-A
prompt,recall_at_10,5452,525,0.1823318381744724,0.1722536338389884,0.1928799804358933,SODA-A
prompt,ndcg_at_5,5452,525,0.46378390289032,0.4410102692616232,0.4862993638264895,SODA-A
prompt,ndcg_at_10,5452,525,0.456158272727181,0.4353445115772568,0.4771355665343723,SODA-A
