subset,num_queries,priver_num_queries,priver_hit_at_1,priver_hit_at_5,priver_hit_at_10,priver_precision_at_5,priver_precision_at_10,priver_recall_at_10,semantic_num_queries,semantic_hit_at_1,semantic_hit_at_5,semantic_hit_at_10,semantic_precision_at_5,semantic_precision_at_10,semantic_recall_at_10,delta_hit_at_1,delta_hit_at_5,delta_hit_at_10,delta_precision_at_5,delta_precision_at_10,delta_recall_at_10,dataset
easy_composite,2048,2048,0.982421875,0.99853515625,1.0,0.95361328125,0.910107421875,0.5532134638898569,2048,1.0,1.0,1.0,0.908984375,0.8699218750000001,0.5335732170988718,-0.017578125,-0.00146484375,0.0,0.0446289062499999,0.0401855468749999,0.019640246790985,DOTA-v1.5
all,5452,5452,0.6008804108584006,0.8473954512105649,0.90975788701394,0.5352898019075569,0.5021276595744681,0.2358214391495754,5452,0.4794570799706529,0.7371606749816582,0.8294203961848863,0.4375641966250917,0.4141966250917095,0.1768099552544949,0.1214233308877476,0.1102347762289067,0.0803374908290536,0.0977256052824652,0.0879310344827586,0.0590114838950804,SODA-A
baseline_hit1_failure,2838,2838,0.3703312191684285,0.7223396758280479,0.8305144467935166,0.3246652572233967,0.293446088794926,0.2228308201628621,2838,0.0,0.4950669485553206,0.6723044397463002,0.1709654686398872,0.1895701198026779,0.1357742918447883,0.3703312191684285,0.2272727272727273,0.1582100070472164,0.1536997885835094,0.103875968992248,0.0870565283180738,SODA-A
baseline_hit5_failure,1433,1433,0.1737613398464759,0.5219818562456385,0.6866713189113748,0.1642707606420097,0.1455687369155617,0.1812712213193733,1433,0.0,0.0,0.3510118632240055,0.0,0.0493370551290997,0.0604256475728481,0.1737613398464759,0.5219818562456385,0.3356594556873692,0.1642707606420097,0.0962316817864619,0.1208455737465252,SODA-A
baseline_low_precision10,3194,3194,0.3728866624921728,0.7401377582968065,0.8459611772072636,0.3082654978083907,0.2731371321227301,0.2531562234581843,3194,0.2172824045084533,0.5516593613024421,0.7088290544771446,0.1797745773324984,0.1634001252348153,0.1607556567314788,0.1556042579837195,0.1884783969943644,0.137132122730119,0.1284909204758923,0.1097370068879148,0.0924005667267054,SODA-A
baseline_very_low_precision10,2237,2237,0.2512293249888243,0.6401430487259723,0.7814036656236031,0.2207420652659812,0.1933392936969155,0.2285157620443493,2237,0.1166741171211444,0.37863209655789,0.5842646401430487,0.0919088064371926,0.0856504246759052,0.1145799470406235,0.1345552078676799,0.2615109521680822,0.1971390254805544,0.1288332588287885,0.1076888690210102,0.1139358150037257,SODA-A
sparse_objects,1812,1812,0.3355408388520971,0.6754966887417219,0.7991169977924945,0.247682119205298,0.2110375275938189,0.3052762627752666,1812,0.2036423841059602,0.4591611479028697,0.6109271523178808,0.1625827814569536,0.1416666666666667,0.2022689099441349,0.1318984547461368,0.2163355408388521,0.1881898454746137,0.0850993377483444,0.0693708609271522,0.1030073528311316,SODA-A
dense_objects,1800,1800,0.8444444444444444,0.9644444444444444,0.9888888888888888,0.7928888888888888,0.7686666666666667,0.1606108097017554,1800,0.7138888888888889,0.9188888888888888,0.9594444444444444,0.6928888888888889,0.6792222222222222,0.136561321060786,0.1305555555555555,0.0455555555555555,0.0294444444444444,0.0999999999999998,0.0894444444444445,0.0240494886409693,SODA-A
few_positive_patches,1828,1828,0.3063457330415755,0.6411378555798687,0.7571115973741794,0.224945295404814,0.1829321663019693,0.3180073634121774,1828,0.1936542669584245,0.4463894967177242,0.5929978118161926,0.149671772428884,0.1297045951859956,0.2199144263832447,0.1126914660831509,0.1947483588621444,0.1641137855579868,0.0752735229759299,0.0532275711159737,0.0980929370289326,SODA-A
many_positive_patches,1840,1840,0.8978260869565218,0.9934782608695653,1.0,0.861304347826087,0.8450000000000001,0.1420320521383055,1840,0.7684782608695652,0.9679347826086956,0.9907608695652174,0.7506521739130435,0.7453804347826087,0.1226803446260548,0.1293478260869566,0.0255434782608695,0.0092391304347826,0.1106521739130435,0.0996195652173913,0.0193517075122507,SODA-A
small_objects,1800,1800,0.5511111111111111,0.8155555555555556,0.8844444444444445,0.4924444444444445,0.4642222222222221,0.1752954617617945,1800,0.3816666666666666,0.6538888888888889,0.7838888888888889,0.3654444444444444,0.3662777777777777,0.1201399295080619,0.1694444444444444,0.1616666666666667,0.1005555555555556,0.127,0.0979444444444443,0.0551555322537325,SODA-A
large_objects,1800,1800,0.66,0.8844444444444445,0.9311111111111112,0.6097777777777778,0.5808888888888888,0.2556942003847772,1800,0.5861111111111111,0.8311111111111111,0.8855555555555555,0.5384444444444445,0.4976666666666666,0.2042458430504451,0.0738888888888888,0.0533333333333333,0.0455555555555555,0.0713333333333332,0.0832222222222221,0.051448357334332,SODA-A
hard_composite,3629,3629,0.4290438137227886,0.7710112978782033,0.8644254615596583,0.3575089556351612,0.3221273077982915,0.2558824801059192,3629,0.2179663819233948,0.6051253788922568,0.743731055387159,0.2288784789198126,0.2169192615045466,0.1731474807373915,0.2110774317993937,0.1658859189859465,0.1206944061724992,0.1286304767153485,0.1052080462937448,0.0827349993685276,SODA-A
easy_composite,1823,1823,0.9429511793746572,0.9994514536478332,1.0,0.8891936368623149,0.8604498080087768,0.1958864322211212,1823,1.0,1.0,1.0,0.8529895776193088,0.8069116840373012,0.1841007506590851,-0.0570488206253428,-0.0005485463521667,0.0,0.036204059243006,0.0535381239714756,0.011785681562036,SODA-A
