image_id,class_name,threshold,object_recall_bound,target_objects,available_objects,qualified_patches
00562,airplane,256,0.0,10,0,0
00562,large-vehicle,0,1.0,5,5,5
00562,large-vehicle,16,1.0,5,5,5
00562,large-vehicle,64,0.2,5,1,2
00562,large-vehicle,256,0.0,5,0,0
00562,small-vehicle,0,0.9911504424778761,113,112,17
00562,small-vehicle,16,0.22123893805309736,113,25,13
00562,small-vehicle,64,0.0,113,0,0
00562,small-vehicle,256,0.0,113,0,0
00562,swimming-pool,0,1.0,1,1,3
00562,swimming-pool,16,1.0,1,1,2
00562,swimming-pool,64,0.0,1,0,0
00562,swimming-pool,256,0.0,1,0,0
00566,airplane,0,1.0,4,4,5
00566,airplane,16,1.0,4,4,5
00566,airplane,64,1.0,4,4,3
00566,airplane,256,0.0,4,0,0
00566,container,0,1.0,22,22,8
00566,container,16,1.0,22,22,7
00566,container,64,0.18181818181818182,22,4,2
00566,container,256,0.0,22,0,0
00566,large-vehicle,0,1.0,1,1,3
00566,large-vehicle,16,1.0,1,1,3
00566,large-vehicle,64,1.0,1,1,1
00566,large-vehicle,256,0.0,1,0,0
00566,small-vehicle,0,1.0,57,57,9
00566,small-vehicle,16,0.9122807017543859,57,52,5
00566,small-vehicle,64,0.0,57,0,0
00566,small-vehicle,256,0.0,57,0,0
00568,container,0,1.0,2,2,4
00568,container,16,1.0,2,2,4
00568,container,64,0.5,2,1,2
00568,container,256,0.0,2,0,0
00568,large-vehicle,0,1.0,1,1,3
00568,large-vehicle,16,1.0,1,1,3
00568,large-vehicle,64,1.0,1,1,2
00568,large-vehicle,256,0.0,1,0,0
00568,ship,0,1.0,2,2,9
00568,ship,16,1.0,2,2,7
00568,ship,64,0.5,2,1,2
00568,ship,256,0.0,2,0,0
00568,small-vehicle,0,1.0,311,311,89
00568,small-vehicle,16,0.9839228295819936,311,306,77
00568,small-vehicle,64,0.02572347266881029,311,8,13
00568,small-vehicle,256,0.0,311,0,0
00568,storage-tank,0,1.0,1,1,6
00568,storage-tank,16,1.0,1,1,4
00568,storage-tank,64,0.0,1,0,0
00568,storage-tank,256,0.0,1,0,0
00568,swimming-pool,0,0.974025974025974,77,75,84
00568,swimming-pool,16,0.974025974025974,77,75,84
00568,swimming-pool,64,0.922077922077922,77,71,66
00568,swimming-pool,256,0.09090909090909091,77,7,8
00571,small-vehicle,0,1.0,467,467,95
00571,small-vehicle,16,0.9700214132762313,467,453,74
00571,small-vehicle,64,0.0021413276231263384,467,1,1
00571,small-vehicle,256,0.0,467,0,0
00571,swimming-pool,0,1.0,72,72,89
00571,swimming-pool,16,0.9861111111111112,72,71,88
00571,swimming-pool,64,0.9027777777777778,72,65,74
00571,swimming-pool,256,0.20833333333333334,72,15,19
00572,airplane,0,1.0,27,27,28
00572,airplane,16,0.9259259259259259,27,25,26
00572,airplane,64,0.4074074074074074,27,11,16
00572,airplane,256,0.1111111111111111,27,3,4
00572,container,0,1.0,20,20,7
00572,container,16,1.0,20,20,4
00572,container,64,0.0,20,0,0
00572,container,256,0.0,20,0,0
00572,large-vehicle,0,1.0,9,9,12
00572,large-vehicle,16,0.8888888888888888,9,8,5
00572,large-vehicle,64,0.0,9,0,0
00572,large-vehicle,256,0.0,9,0,0
00572,small-vehicle,0,0.9941348973607038,682,678,32
00572,small-vehicle,16,0.0,682,0,0
00572,small-vehicle,64,0.0,682,0,0
00572,small-vehicle,256,0.0,682,0,0
00572,storage-tank,0,1.0,3,3,3
00572,storage-tank,16,1.0,3,3,3
00572,storage-tank,64,1.0,3,3,2
00572,storage-tank,256,0.0,3,0,0
00575,large-vehicle,0,1.0,5,5,9
00575,large-vehicle,16,1.0,5,5,7
00575,large-vehicle,64,0.4,5,2,3
00575,large-vehicle,256,0.0,5,0,0
00575,small-vehicle,0,1.0,320,320,95
00575,small-vehicle,16,0.96875,320,310,69
00575,small-vehicle,64,0.0,320,0,0
00575,small-vehicle,256,0.0,320,0,0
00575,storage-tank,0,1.0,4,4,10
00575,storage-tank,16,1.0,4,4,4
00575,storage-tank,64,0.0,4,0,0
00575,storage-tank,256,0.0,4,0,0
00575,swimming-pool,0,1.0,118,118,95
00575,swimming-pool,16,1.0,118,118,95
00575,swimming-pool,64,0.9915254237288136,118,117,95
00575,swimming-pool,256,0.4152542372881356,118,49,48
00599,airplane,0,1.0,18,18,13
00599,airplane,16,0.9444444444444444,18,17,12
00599,airplane,64,0.6666666666666666,18,12,9
00599,airplane,256,0.1111111111111111,18,2,4
00599,container,0,1.0,1289,1289,56
00599,container,16,0.0,1289,0,0
00599,container,64,0.0,1289,0,0
00599,container,256,0.0,1289,0,0
00599,large-vehicle,0,1.0,19,19,25
00599,large-vehicle,16,0.0,19,0,0
00599,large-vehicle,64,0.0,19,0,0
00599,large-vehicle,256,0.0,19,0,0
00599,small-vehicle,0,1.0,1,1,4
00599,small-vehicle,16,1.0,1,1,3
00599,small-vehicle,64,0.0,1,0,0
00599,small-vehicle,256,0.0,1,0,0
00599,storage-tank,0,0.45454545454545453,11,5,5
00599,storage-tank,16,0.18181818181818182,11,2,1
00599,storage-tank,64,0.0,11,0,0
00599,storage-tank,256,0.0,11,0,0
00599,swimming-pool,0,1.0,16,16,22
00599,swimming-pool,16,0.4375,16,7,8
00599,swimming-pool,64,0.0,16,0,0
00599,swimming-pool,256,0.0,16,0,0
00614,container,0,1.0,566,566,63
00614,container,16,0.2226148409893993,566,126,26
00614,container,64,0.0,566,0,0
00614,container,256,0.0,566,0,0
00614,large-vehicle,0,1.0,40,40,50
00614,large-vehicle,16,0.7,40,28,27
00614,large-vehicle,64,0.0,40,0,0
00614,large-vehicle,256,0.0,40,0,0
00614,ship,0,1.0,2,2,3
00614,ship,16,1.0,2,2,3
