method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,00310,large-vehicle,64,0.0,0.0,0.0
prompt,00310,large-vehicle,256,0.0,0.0,0.0
prompt,00310,small-vehicle,0,0.0,0.0,0.0
prompt,00310,small-vehicle,16,0.0,0.0,0.0
prompt,00310,small-vehicle,64,0.0,0.0,0.0
prompt,00310,small-vehicle,256,0.0,0.0,0.0
prompt,00310,storage-tank,0,0.2,0.9197207891481876,1.0
prompt,00310,storage-tank,16,0.2,0.9197207891481876,1.0
prompt,00310,storage-tank,64,0.2,0.9197207891481876,1.0
prompt,00310,storage-tank,256,0.1,0.5,1.0
prompt,00312,airplane,0,0.8,0.8701249883466593,0.9590643274853801
prompt,00312,airplane,16,0.8,0.8701249883466593,0.9532163742690059
prompt,00312,airplane,64,0.8,0.8701249883466593,0.5263157894736842
prompt,00312,airplane,256,0.5,0.7709363892380909,0.09941520467836257
prompt,00312,container,0,0.2,0.17630010660342912,0.029411764705882353
prompt,00312,container,16,0.1,0.0761433407173835,0.029411764705882353
prompt,00312,container,64,0.0,0.0,0.0
prompt,00312,container,256,0.0,0.0,0.0
prompt,00312,large-vehicle,0,0.6,0.6627919420317119,0.7751937984496124
prompt,00312,large-vehicle,16,0.3,0.28165758790969186,0.4108527131782946
prompt,00312,large-vehicle,64,0.0,0.0,0.0
prompt,00312,large-vehicle,256,0.0,0.0,0.0
prompt,00312,small-vehicle,0,0.2,0.22400556151517553,0.20689655172413793
prompt,00312,small-vehicle,16,0.0,0.0,0.0
prompt,00312,small-vehicle,64,0.0,0.0,0.0
prompt,00312,small-vehicle,256,0.0,0.0,0.0
prompt,00312,storage-tank,0,0.2,0.34519134224686937,1.0
prompt,00312,storage-tank,16,0.2,0.34519134224686937,1.0
prompt,00312,storage-tank,64,0.0,0.0,0.0
prompt,00312,storage-tank,256,0.0,0.0,0.0
prompt,00328,airplane,0,0.2,0.15850703974098102,0.7777777777777778
prompt,00328,airplane,16,0.2,0.15850703974098102,0.7777777777777778
prompt,00328,airplane,64,0.0,0.0,0.0
prompt,00328,airplane,256,0.0,0.0,0.0
prompt,00328,container,0,0.4,0.30306164500156685,0.75
prompt,00328,container,16,0.4,0.30306164500156685,0.75
prompt,00328,container,64,0.3,0.2863532718493772,0.75
prompt,00328,container,256,0.0,0.0,0.0
prompt,00328,large-vehicle,0,0.4,0.46664232174566633,0.6829268292682927
prompt,00328,large-vehicle,16,0.4,0.46664232174566633,0.6829268292682927
prompt,00328,large-vehicle,64,0.4,0.46664232174566633,0.6829268292682927
prompt,00328,large-vehicle,256,0.0,0.0,0.0
prompt,00328,small-vehicle,0,0.8,0.8603818544462509,0.2349570200573066
prompt,00328,small-vehicle,16,0.8,0.8603818544462509,0.22922636103151864
prompt,00328,small-vehicle,64,0.0,0.0,0.0
prompt,00328,small-vehicle,256,0.0,0.0,0.0
prompt,00328,swimming-pool,0,0.2,0.2327059155688063,1.0
prompt,00328,swimming-pool,16,0.2,0.2327059155688063,1.0
prompt,00328,swimming-pool,64,0.2,0.2327059155688063,1.0
prompt,00328,swimming-pool,256,0.0,0.0,0.0
prompt,00331,container,0,0.1,0.08514311764162098,0.6
prompt,00331,container,16,0.1,0.09785159463516042,0.6
prompt,00331,container,64,0.1,0.18154179253735267,0.2
prompt,00331,container,256,0.0,0.0,0.0
prompt,00331,large-vehicle,0,0.2,0.3543334123470583,0.5
prompt,00331,large-vehicle,16,0.2,0.3543334123470583,0.5
prompt,00331,large-vehicle,64,0.1,0.11284514134893527,0.5
